Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),Amazon EC2,0,3519.17,42230.04,USD,"Operating system (Linux), Quantity (32), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (50 GB), Instance type (t3.2xlarge)"
Increased_Cost Estimate,US East (N. Virginia),Elastic Load Balancing,0,2368.85,28426.20,USD,Number of Application Load Balancers (2)
Increased_Cost Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,10030.712,120368.54,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5 TB), Instance type (db.m5.12xlarge)"
Increased_Cost Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,965.7,11588.40,USD,Number of NAT Gateways (2)
Increased_Cost Estimate,US East (N. Virginia),S3 Standard,0,2251.22,27014.64,USD,S3 Standard storage (100000 GB per month)
Increased_Cost Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD,Data Transfer
Increased_Cost Estimate,US East (N. Virginia),Amazon Route 53,0,0.5,6.00,USD,Hosted Zones (1)
Increased_Cost Estimate,US East (N. Virginia),Amazon CloudWatch,0,103.9004,1246.80,USD,
Monthly cost:,,,,19,240.05 USD,,,
